timestamp_ns,bid_price_1,bid_volume_1,ask_price_1,ask_volume_1
2021-04-07 23:43:53.153999872,0.76336,55.41,0.78125,177.84
2021-04-07 23:43:53.345999872,0.76336,55.41,0.76923,157.57
2021-04-07 23:43:54.688999936,0.76336,55.41,0.76923,153.8
2021-04-07 23:43:55.448999936,0.76336,55.41,0.76923,140.83
2021-04-07 23:43:56.939000064,0.76336,55.41,0.76923,140.83
2021-04-07 23:43:59.556000000,0.76336,451.25,0.76923,140.83
2021-04-07 23:43:59.684999936,0.76336,451.25,0.76923,140.83
2021-04-07 23:43:59.974000128,0.76336,706.72,0.76923,140.83
2021-04-07 23:44:00.183000064,0.76336,763.3,0.76923,46.16
2021-04-07 23:44:01.964000000,0.76336,763.3,0.76923,46.16
2021-04-07 23:44:02.073999872,0.76336,763.3,0.76923,46.16
2021-04-07 23:44:02.198000128,0.76336,706.72,0.76923,46.16
2021-04-07 23:44:02.487000064,0.76336,706.72,0.76923,46.16
2021-04-07 23:44:03.563000064,0.76336,706.72,0.76923,46.16
2021-04-07 23:44:05.265999872,0.76336,706.72,0.76923,2846.41
2021-04-07 23:44:05.464999936,0.76336,706.72,0.76923,2846.41
2021-04-07 23:44:06.092999936,0.76336,706.72,0.76923,2846.41
2021-04-07 23:44:08.460000000,0.76336,706.72,0.76923,2846.41
2021-04-07 23:44:08.763000064,0.76336,310.89,0.76923,2846.41
2021-04-07 23:44:08.972000000,0.76336,155.67,0.76923,2846.41
2021-04-07 23:44:09.283000064,0.76336,155.67,0.76923,2846.41
2021-04-07 23:44:09.412999936,0.76336,155.67,0.76923,2875.63
2021-04-07 23:44:12.264000000,0.76336,155.67,0.76923,2875.63
2021-04-07 23:44:13.392999936,0.76336,155.67,0.76923,2875.63
2021-04-07 23:44:13.600000000,0.76336,155.67,0.76923,2875.63
2021-04-07 23:44:18.697999872,0.76336,155.67,0.76923,2875.63
2021-04-07 23:44:29.204999936,0.76336,155.67,0.76923,2879.91
2021-04-07 23:44:30.615000064,0.76336,155.67,0.76923,2879.21
2021-04-07 23:44:33.203000064,0.76336,155.67,0.76923,2833.75
2021-04-07 23:44:33.423000064,0.76336,110.55,0.76923,2833.75
2021-04-07 23:44:34.584999936,0.75758,815.94,0.76923,2833.75
2021-04-07 23:44:34.908000000,0.75758,815.94,0.76923,2833.75
2021-04-07 23:44:39.008000000,0.75758,815.94,0.76923,2829.47
2021-04-07 23:44:56.111000064,0.75758,815.94,0.76923,2834.26
2021-04-07 23:45:08.752999936,0.75758,815.94,0.76923,2834.26
2021-04-07 23:45:36.606000128,0.75758,803.79,0.76923,2834.26
2021-04-07 23:45:43.014000128,0.75758,621.99,0.76923,2834.26
2021-04-07 23:45:54.732000000,0.75188,2.22,0.8,189.52
2021-04-07 23:45:59.931000064,0.75188,2.22,0.8,255.35
2021-04-07 23:46:00.184999936,0.75188,2.22,0.8,255.35


