Date,Price,Open,High,Low,Vol.,Change%
2019-03-13,7148.17,7128.25,7162.50,7128.25,0,-0.04
2019-03-12,7151.15,7130.62,7166.55,7083.22,775290000,0.29
2019-03-11,7130.62,7104.31,7181.61,7104.31,695140000,0.37
2019-03-08,7104.31,7157.55,7157.55,7077.93,640780000,-0.74
2019-03-07,7157.55,7196.00,7196.00,7126.57,712680000,-0.53
2019-03-06,7196.00,7183.43,7211.83,7170.25,816150000,0.17
2019-03-05,7183.43,7134.39,7191.65,7127.18,819860000,0.69
2019-03-04,7134.39,7106.73,7166.19,7106.73,654230000,0.39
2019-03-01,7106.73,7074.73,7129.72,7074.73,722480000,0.45
2019-02-28,7074.73,7107.20,7107.20,7041.03,1010000000,-0.46
2019-02-27,7107.20,7151.12,7151.12,7082.62,897620000,-0.61
2019-02-26,7151.12,7183.74,7183.79,7091.59,892460000,-0.45
2019-02-25,7183.74,7178.60,7210.70,7158.19,664870000,0.07
2019-02-22,7178.60,7167.39,7220.52,7162.37,666720000,0.16
2019-02-21,7167.39,7228.62,7228.78,7141.85,822590000,-0.85
2019-02-20,7228.62,7179.17,7234.16,7177.95,887890000,0.69
2019-02-19,7179.17,7219.47,7219.53,7162.80,643410000,-0.56
2019-02-18,7219.47,7236.68,7242.09,7209.70,453430000,-0.24
2019-02-15,7236.68,7197.01,7261.63,7185.23,709700000,0.55
2019-02-14,7197.01,7190.84,7232.83,7183.01,535040000,0.09
2019-02-13,7190.84,7133.14,7205.07,7133.14,578840000,0.81
2019-02-12,7133.14,7129.11,7168.61,7121.72,542970000,0.06
2019-02-11,7129.11,7071.18,7149.23,7071.18,565260000,0.82
2019-02-08,7071.18,7093.58,7115.83,7064.90,548730000,-0.32
2019-02-07,7093.58,7173.09,7187.51,7093.58,669720000,-1.11
2019-02-06,7173.09,7177.37,7184.22,7146.65,618000000,-0.06
2019-02-05,7177.37,7034.13,7180.71,7033.57,683460000,2.04
2019-02-04,7034.13,7020.22,7046.58,7002.42,630900000,0.20
2019-02-01,7020.22,6968.85,7024.45,6968.85,645350000,0.74
